HT14			rows = 658
15	1.5007	0.03519	2000000	0.0144
-5	-0.564	0.00643	3000000	-0.002
-4	-0.4508	0.00579	3000000	-0.0017
-3	-0.3322	0.0053	3000000	-0.0025
-2	-0.2273	0.00578	3000000	-0
-1	-0.1138	0.00589	3000000	-0
0	0.0001	0.00583	3000000	-0
1	0.1141	0.00589	3000000	0
2	0.2276	0.00578	3000000	0
3	0.3325	0.0053	3000000	0.0024
4	0.4511	0.00579	3000000	0.0017
5	0.5643	0.00643	3000000	0.002
6	0.6766	0.00723	3000000	0.0023
7	0.7879	0.00814	3000000	0.0028
8	0.8982	0.00917	3000000	0.0034
9	1.0065	0.01051	3000000	0.0041
10	1.1135	0.01187	3000000	0.0049
11	1.2168	0.0138	3000000	0.006
12	1.3181	0.01569	3000000	0.0072
13	1.414	0.01816	3000000	0.0086
14	1.4986	0.02199	3000000	0.0107
15	1.5545	0.02877	3000000	0.0137
-5	-0.5648	0.00611	4000000	-0.0018
-4	-0.4515	0.00546	4000000	-0.0015
-3	-0.341	0.00545	4000000	-0.0003
-2	-0.2281	0.00578	4000000	-0
0	0.0001	0.00575	4000000	-0
1	0.1144	0.0058	4000000	0
2	0.2284	0.00578	4000000	0
3	0.3413	0.00544	4000000	0.0003
4	0.4518	0.00546	4000000	0.0015
5	0.5651	0.00611	4000000	0.0018
6	0.6777	0.00686	4000000	0.0022
7	0.7895	0.00768	4000000	0.0026
8	0.9	0.00867	4000000	0.0031
9	1.0092	0.00979	4000000	0.0038
10	1.1163	0.01121	4000000	0.0046
11	1.2219	0.01259	4000000	0.0055
12	1.3244	0.01433	4000000	0.0066
13	1.418	0.01749	4000000	0.0083
14	1.5091	0.02026	4000000	0.0101
15	1.5895	0.02395	4000000	0.0124
